No	画面区分	区分	メニュー経路	画面/操作	チェック項目	期待動作（Notion要件/仕様）	実装状況(参考_2026-06)	確認結果(OK/NG/未)	確認者	確認日	備考
=== A. ユーザー画面: 営業進行フロー（Notion 1-1〜1-7）===										
1	ユーザー画面	1-1 ログイン〜勤怠	(ログイン前)	専用URL({slug}.bridge-linq.com)	自社slugのURLでログイン画面に到達	会社別サブドメイン→ログイン画面	部分実装	保留(外部連携)	core-uat-e2e	2026-06-03	ローカルは/login
2	ユーザー画面	1-1 ログイン〜勤怠	(ログイン前)	/login	メール+パスワードでログイン	成功→ダッシュボード/失敗→ログイン画面	実装済	OK	core-uat-e2e	2026-06-03	
3	ユーザー画面	1-1 ログイン〜勤怠	(ログイン前)	/login	Googleでログイン	Google OAuth認証	実装済	保留(外部連携)	core-uat-e2e	2026-06-03	OAuth設定要
4	ユーザー画面	1-1 ログイン〜勤怠	サイドバー > ダッシュボード	/dashboard	勤怠打刻セクション表示	現在時刻・日付・ステータス・出勤/退勤ボタン	実装済	OK	core-uat-e2e	2026-06-03	
5	ユーザー画面	1-1 ログイン〜勤怠	サイドバー > ダッシュボード	/dashboard	アナログ時計・ステータス視認	未出勤/出勤中/退勤済	実装済	OK	core-uat-e2e	2026-06-03	ResponsiveClock+ステータスバッジ
6	ユーザー画面	1-1 ログイン〜勤怠	サイドバー > ダッシュボード	/dashboard	出勤打刻	出勤時刻DB記録→ステータス出勤中	実装済	OK	core-uat-e2e	2026-06-03	
7	ユーザー画面	1-1 ログイン〜勤怠	サイドバー > ダッシュボード	/dashboard	退勤打刻	退勤時刻DB記録→ステータス退勤済	実装済	OK	core-uat-e2e	2026-06-03	
8	ユーザー画面	1-1 ログイン〜勤怠	サイドバー > ポータル > 勤怠	/attendance	打刻が勤怠管理に反映	attendanceレコード作成・月次集計	実装済	OK	core-uat-e2e	2026-06-03	
9	ユーザー画面	1-2 問い合わせ〜商談化	(外部チャネル)	/api/dev/inbound-lead	問い合わせ自動取り込み	受信→顧客/商談自動作成	部分実装	保留(外部連携)	core-uat-e2e	2026-06-03	開発APIスタブ・本番Webhookは別途
10	ユーザー画面	1-2 問い合わせ〜商談化	サイドバー > リード > 顧客・商談管理	/crm/new	電話問い合わせを手動登録	受付担当がリード入力→顧客作成	実装済	OK	core-uat-e2e	2026-06-03	
11	ユーザー画面	1-2 問い合わせ〜商談化	(AI)	/crm/new	AIが最適担当者をアサイン	Linqが最適度付きで提案	部分実装	保留(AI)	core-uat-e2e	2026-06-03	AIプロバイダーは後で選定・ルールベース可
12	ユーザー画面	1-2 問い合わせ〜商談化	顧客詳細 > スケジュール	/crm/[id]	アポ単一確定→カレンダー自動登録	1候補→calendar_events登録	部分実装	保留(外部連携)	core-uat-e2e	2026-06-03	Google OAuth双方向は要OAuth
13	ユーザー画面	1-2 問い合わせ〜商談化	顧客詳細 > スケジュール	/crm/[id]	複数候補→空き/移動時間で突合	AIが最適候補を選定	部分実装	OK	core-uat-e2e	2026-06-03	ルールベース最適化済
