"No","大分類","誰が","画面","チェック内容（操作）","期待結果","種別","優先度","出典","結果（OK/NG/対象外）","メモ"
"1","判定ルール","責任者","このシート","必須を上から実施する。1件でも必須NGならリリースしない。推奨は使わない機能だけ『対象外』とメモしてよい","必須がすべてOK（または対象外の根拠が書いてある）なら本番公開してよい","説明","—","仕様＋シート1","","現状どおりでOKは仕様どおり。バグにして落とさない"
"2","入れない・混ざらない","全員","ログイン","自社slugのURLを開く","ログイン画面が出る。他社slugでは自社に入れない","権限","必須","仕様","",""
"3","入れない・混ざらない","全員","ログイン","正しいメール／パスワード","ダッシュボードに着く","画面","必須","仕様","",""
"4","入れない・混ざらない","全員","ログイン","間違ったパスワード","入れない","画面","必須","仕様","",""
"5","入れない・混ざらない","全員","ログイン","パスワードをお忘れですか","再設定メールの案内が出る","画面","推奨","仕様","",""
"6","入れない・混ざらない","全員","ログイン","ログアウトして保護ページを開く","/login に飛ぶ","権限","必須","仕様","",""
"7","入れない・混ざらない","加盟店A","他社URL","加盟店Bのslugで同じアカウントを開く（またはBのデータIDを直打ち）","Bの顧客・工事・文書・帳票は見えない。自社へ戻るか入れない","権限","必須","仕様","","RLS＋サブドメイン。公開前に別テナントで必ずやる"
"8","入れない・混ざらない","加盟店","/admin","ログインしたまま /admin を直打ち","/admin/login。/unauthorized ではない","権限","必須","仕様","",""
"9","入れない・混ざらない","未権限","任意ページ","ロールでOFFにしたメニューを直打ち","/unauthorized。ダッシュボードへ戻れる","権限","必須","仕様","",""
"10","入れない・混ざらない","全員","/marketing","直打ち","入れない（全ロール遮断）","権限","必須","仕様","",""
"11","入れない・混ざらない","経理以外","納品・検収","fulfillment_approve が無い人で経理承認","承認できない","権限","必須","シート1 122","",""
"12","入れない・混ざらない","営業など","BI","BI顧客名表示がOFFのロールで部門案件一覧","個人名が見えない","権限","必須","シート1 84","",""
"13","入れない・混ざらない","業者","業者請求URL","確認コード前に金額・口座を見る／送る","ログイン画面は出ない。金額・口座は出ない。送れない","権限","必須","仕様＋シート1 129","",""
"14","入れない・混ざらない","業者","期限切れURL","期限切れトークンで開く","エラー。金額は出ない","権限","必須","仕様","",""
"15","画面の骨格","全員","サイドバー","大項目がダッシュボード／リード／生産／ポータル","マーケティング・請求管理・予算管理は出ない","画面","必須","仕様＋シート1 35","",""
"16","画面の骨格","全員","サイドバー","リード＝問い合わせ／顧客・商談／見積／職人","4つ","画面","必須","仕様","",""
"17","画面の骨格","全員","サイドバー","生産＝契約／工事／納品・検収／帳票データ作成／勘定科目の確定","5つ。FBデータ作成になっていない","画面","必須","仕様＋シート1 109","",""
"18","画面の骨格","全員","サイドバー","ポータル＝カレンダー／メール／勤怠／ワークフロー／回覧／文書","6つ","画面","必須","仕様","",""
"19","画面の骨格","全員","ユーザーメニュー","プロフィール／設定／外部連携／ログアウト","外部連携は設定のGoogleカレンダー","画面","必須","仕様","",""
"20","画面の骨格","全員","グローバル","検索で今作った顧客名・工事名を打つ","該当が開き、他社の件は出ない","一連の流れ","必須","仕様","",""
"21","画面の骨格","全員","グローバル","通知ベル","承認待ちやお知らせの未読が見える","画面","必須","仕様","",""
"22","画面の骨格","全員","グローバル","右下AIを開く","今の画面を踏まえて答えられる（未設定ならその旨）","画面","推奨","仕様＋シート1 34","",""
"23","画面の骨格","管理者","設定 › ロール","管理者／経営層／営業／現場担当／設計士／総務が選べる","シート1の役割どおり","権限","必須","シート1 37-42","",""
"24","画面の骨格","管理者","設定 › ロール","カスタムロールを追加して権限を付ける","メンバーに割り当てられメニューが変わる","権限","必須","シート1 44","",""
"25","初日セットアップ","管理者","会社情報","社名・住所・インボイス番号・請求締日・会計開始月を保存","住所は契約乙と業者請求の発注元。締日は月次請求。会計月はBI。インボイス番号は自社表示","入力が渡る","必須","仕様","",""
