No	大分類	誰が	画面	開き方（メニュー／URL）	チェック内容（操作）	期待結果	種別	優先度	出典	結果（OK/NG/対象外）	メモ
1	判定ルール	責任者	このシート	このスプレッドシート（アプリ画面ではない）	必須を上から実施する。1件でも必須NGならリリースしない。推奨は使わない機能だけ『対象外』とメモしてよい	必須がすべてOK（または対象外の根拠が書いてある）なら本番公開してよい	説明	—	仕様＋シート1		現状どおりでOKは仕様どおり。バグにして落とさない
2	入れない・混ざらない	全員	ログイン	{slug}.bridge-linq.com/login または /login	自社slugのURLを開く	ログイン画面が出る。他社slugでは自社に入れない	権限	必須	仕様		
3	入れない・混ざらない	全員	ログイン	{slug}.bridge-linq.com/login または /login	正しいメール／パスワード	ダッシュボードに着く	画面	必須	仕様		
4	入れない・混ざらない	全員	ログイン	{slug}.bridge-linq.com/login または /login	間違ったパスワード	入れない	画面	必須	仕様		
5	入れない・混ざらない	全員	ログイン	{slug}.bridge-linq.com/login または /login	パスワードをお忘れですか	再設定メールの案内が出る	画面	推奨	仕様		
6	入れない・混ざらない	全員	ログイン	{slug}.bridge-linq.com/login または /login	ログアウトして保護ページを開く	/login に飛ぶ	権限	必須	仕様		
7	入れない・混ざらない	加盟店A	他社URL	別加盟店の {他社slug}.bridge-linq.com。データIDの直打ちも可	加盟店Bのslugで同じアカウントを開く（またはBのデータIDを直打ち）	Bの顧客・工事・文書・帳票は見えない。自社へ戻るか入れない	権限	必須	仕様		RLS＋サブドメイン。公開前に別テナントで必ずやる
8	入れない・混ざらない	加盟店	/admin	アドレスバーに /admin（サイドバーには無い）	ログインしたまま /admin を直打ち	/admin/login。/unauthorized ではない	権限	必須	仕様		
9	入れない・混ざらない	未権限	任意ページ	権限OFFにしたメニューのURLをアドレスバーに貼る	ロールでOFFにしたメニューを直打ち	/unauthorized。ダッシュボードへ戻れる	権限	必須	仕様		
10	入れない・混ざらない	全員	/marketing	アドレスバーに /marketing（サイドバーには無い）	直打ち	入れない（全ロール遮断）	権限	必須	仕様		
11	入れない・混ざらない	経理以外	納品・検収	左メニュー 生産 › 納品・検収 → /fulfillment	fulfillment_approve が無い人で経理承認	承認できない	権限	必須	シート1 122		
12	入れない・混ざらない	営業など	BI	左メニュー ダッシュボード › BIダッシュボード → /bi	BI顧客名表示がOFFのロールで部門案件一覧	個人名が見えない	権限	必須	シート1 84		
13	入れない・混ざらない	業者	業者請求URL	サイドバーに無い。生産›納品・検収で検収合格したあと、業者メールのリンク /partner/invoice/[token]	検収データの認証はメール認証。業者向けログインは設けない。請求URLを開き、ログイン画面が出ないこと／確認コード前に金額・口座を見たり送れないこと	ログイン画面は無い。登録メールへ6桁確認コード。入力後だけ請求を送れる。コード前は金額・口座を出さない	権限	必須	仕様＋シート1 129		
14	入れない・混ざらない	業者	期限切れURL	有効期限切れの /partner/invoice/[古いtoken] をブラウザで開く	期限切れトークンで開く	エラー。金額は出ない	権限	必須	仕様		
15	画面の骨格	全員	サイドバー	ログイン後の左メニュー全体	大項目がダッシュボード／リード／生産／ポータル	マーケティング・請求管理・予算管理は出ない	画面	必須	仕様＋シート1 35		
16	画面の骨格	全員	サイドバー	ログイン後の左メニュー全体	リード＝問い合わせ／顧客・商談／見積／職人	4つ	画面	必須	仕様		
17	画面の骨格	全員	サイドバー	ログイン後の左メニュー全体	生産＝契約／工事／納品・検収／帳票データ作成／勘定科目の確定	5つ。FBデータ作成になっていない	画面	必須	仕様＋シート1 109		
18	画面の骨格	全員	サイドバー	ログイン後の左メニュー全体	ポータル＝カレンダー／メール／勤怠／ワークフロー／回覧／文書	6つ	画面	必須	仕様		
19	画面の骨格	全員	ユーザーメニュー	左下の自分のアイコン（プロフィール／設定／外部連携／ログアウト）	プロフィール／設定／外部連携／ログアウト	外部連携は設定のGoogleカレンダー	画面	必須	仕様		
20	画面の骨格	全員	グローバル	左メニュー下部の検索・ベル・チャット、および右下のBRIDGE AI	検索で今作った顧客名・工事名を打つ	該当が開き、他社の件は出ない	一連の流れ	必須	仕様		
21	画面の骨格	全員	グローバル	左メニュー下部の検索・ベル・チャット、および右下のBRIDGE AI	通知ベル	承認待ちやお知らせの未読が見える	画面	必須	仕様		
22	画面の骨格	全員	グローバル	左メニュー下部の検索・ベル・チャット、および右下のBRIDGE AI	右下AIを開く	今の画面を踏まえて答えられる（未設定ならその旨）	画面	推奨	仕様＋シート1 34		
23	画面の骨格	管理者	設定 › ロール	左下アイコン › 設定 › 組織 › メンバー管理 の下の権限表 → /settings?tab=members	管理者／経営層／営業／現場担当／設計士／総務が選べる	シート1の役割どおり	権限	必須	シート1 37-42		
24	画面の骨格	管理者	設定 › ロール	左下アイコン › 設定 › 組織 › メンバー管理 の下の権限表 → /settings?tab=members	カスタムロールを追加して権限を付ける	メンバーに割り当てられメニューが変わる	権限	必須	シート1 44		
25	初日セットアップ	管理者	会社情報	左下アイコン › 設定 › 概要 › プロフィール画面の「会社情報」カード → /settings?tab=profile	社名・住所・インボイス番号・請求締日・会計開始月を保存	住所は契約乙と業者請求の発注元。締日は月次請求。会計月はBI。インボイス番号は自社表示	入力が渡る	必須	仕様		
26	初日セットアップ	管理者	会社情報	左下アイコン › 設定 › 概要 › プロフィール画面の「会社情報」カード → /settings?tab=profile	始業・終業・休憩を保存し、組織›勤怠設定を見る	同じ時刻。勤怠の所定も変わる	入力が渡る	必須	仕様		
27	初日セットアップ	管理者	会社情報	左下アイコン › 設定 › 概要 › プロフィール画面の「会社情報」カード → /settings?tab=profile	見込度A/B/C%と特需デフォルト率	BI期待値に使われる	入力が渡る	必須	仕様＋シート1 50,52		
28	初日セットアップ	管理者	会社情報	左下アイコン › 設定 › 概要 › プロフィール画面の「会社情報」カード → /settings?tab=profile	CloudSignキー（使う場合）／空のまま（使わない場合）	キーあり＝契約・追加変更・発注の送信。空＝PDF代替。空で送信できなくても必須OK	入力が渡る	必須	仕様		
29	初日セットアップ	管理者	会社情報	左下アイコン › 設定 › 概要 › プロフィール画面の「会社情報」カード → /settings?tab=profile	全銀・振込元（依頼人コード・銀行・口座）	帳票全銀の初期ヘッダー。欠けたら本番の振込が出せない	入力が渡る	必須	仕様＋シート1 133		
30	初日セットアップ	管理者	会社情報	左下アイコン › 設定 › 概要 › プロフィール画面の「会社情報」カード → /settings?tab=profile	代表者・郵便番号	会社情報に出る。他画面ではまだ使わない	現状どおりでOK	必須	仕様		
31	初日セットアップ	管理者	CRMマスタ	左下アイコン › 設定 › マスタ › CRMマスタ → /settings?tab=crm_master	ステージ並び・獲得ソース・タグ・部門粗利率・拠点	パイプライン列、顧客フォーム、見積の承認閾値、工事拠点、BI	入力が渡る	必須	仕様＋シート1 72,80		
32	初日セットアップ	管理者	CRMマスタ	左下アイコン › 設定 › マスタ › CRMマスタ → /settings?tab=crm_master	失注理由を追加	マスタには残る。失注操作の選択肢には出ない	現状どおりでOK	必須	仕様		
33	初日セットアップ	管理者	メンバー	左下アイコン › 設定 › 組織 › メンバー管理 → /settings?tab=members	営業・現場担当・総務を招待（氏名・メール・ロール必須）。招待リンクで初回ログイン	入れる。ロールどおりメニューが出る	一連の流れ	必須	仕様＋シート1 36		
34	初日セットアップ	管理者	メンバー	左下アイコン › 設定 › 組織 › メンバー管理 → /settings?tab=members	従業員区分（正社員／パート）	BIの1人当たり利益の係数（1.0／0.5）	入力が渡る	推奨	シート1 77		
35	初日セットアップ	管理者	メンバー	左下アイコン › 設定 › 組織 › メンバー管理 → /settings?tab=members	招待再送・ロール変更・削除	再送できる。ロールはすぐ効く。削除後は入れない	画面	必須	仕様		
36	初日セットアップ	新人	プロフィール	左下アイコン › 設定 › 概要 › プロフィール → /settings?tab=profile	表示名・電話・部署・役職・文字サイズを保存	表示名が担当者に出る。文字サイズはすぐ効く	入力が渡る	必須	仕様		
37	初日セットアップ	新人	セキュリティ	左下アイコン › 設定 › 概要 › セキュリティ → /settings?tab=security	パスワードを6文字以上で変更	新しいパスワードで入り直せる	画面	必須	仕様		
38	初日セットアップ	管理者	勤怠設定	左下アイコン › 設定 › 組織 › 勤怠設定 → /settings?tab=attendance_settings	休暇区分を追加し、勤怠画面のプルダウンを見る	追加した区分が出る	入力が渡る	必須	仕様		
39	初日セットアップ	管理者	ワークフロー	申請操作は 左メニュー ポータル › ワークフロー → /workflow。設定は 設定 › 組織 › ワークフロー → /settings?tab=workflow_types	種別・項目・承認ルートを自社用に保存	新規申請と見積粗利・契約承認の承認者に反映	入力が渡る	必須	仕様		
40	初日セットアップ	管理者	通知設定	左下アイコン › 設定 › 概要 › 通知設定 → /settings?tab=notifications	4トグルを切替	保存される。実メールや日報リマインダーにはまだ使われない	現状どおりでOK	必須	仕様		
41	初日セットアップ	管理者	メール署名	左下アイコン › 設定 › 概要 › メール署名 → /settings?tab=mail_signature。確認は ポータル › メール の作成 /mail/compose	署名を保存して /mail/compose を開く	本文末尾に入る。スレッド返信には自動で入らない	入力が渡る	必須	仕様		
42	営業の現場	営業	問い合わせ	左メニュー リード › 問い合わせ管理 → /leads	電話／来店を手動登録（名前・電話・メール・経路・分類・内容）	未対応で一覧に出る。この時点では顧客にならない	一連の流れ	必須	仕様		
43	営業の現場	営業	問い合わせ	左メニュー リード › 問い合わせ管理 → /leads	「顧客化」→「顧客を開く」	CRM顧客ができる。名前・電話・メール・経路・分類・内容・担当が入る。初回商談（inquiry）。問い合わせ日は顧客化当日	入力が渡る	必須	仕様		
44	営業の現場	営業	問い合わせ	左メニュー リード › 問い合わせ管理 → /leads	見送り	顧客は作られない。一覧フィルタで見送りが見える	画面	必須	仕様		
45	営業の現場	管理者	問い合わせ	左メニュー リード › 問い合わせ管理 → /leads	Webhookを有効化し、正しいシークレットでテスト取り込み	未対応が1件増える。自動では顧客化されない	一連の流れ	推奨	仕様＋シート1 107		
46	営業の現場	管理者	問い合わせ	左メニュー リード › 問い合わせ管理 → /leads	間違ったシークレットでWebhook	取り込まれない	権限	必須	仕様		
47	営業の現場	営業	顧客	左メニュー リード › 顧客・商談管理 → /crm	一覧／カード／パイプライン切替。初期は一覧	3ビュー。独立パイプライン画面は無い	画面	必須	シート1 1,2,3		
48	営業の現場	営業	顧客	左メニュー リード › 顧客・商談管理 → /crm	法人／個人の切替。会社名ありの顧客	一覧の法人タブに出る。見積PDFの御中に会社名	入力が渡る	必須	仕様		
49	営業の現場	営業	記入画面	リード › 顧客・商談管理 → 顧客を開く › 記入画面 → /crm/[id]	氏名・電話・メール・住所・担当・見込度・特需・予算上下限・きっかけ・分類を保存	一覧・詳細・契約甲・工事場所・PDFに出る。見込度はBI。上限は商談金額が無いときBIのフォールバック	入力が渡る	必須	仕様		
50	営業の現場	営業	記入画面	リード › 顧客・商談管理 → 顧客を開く › 記入画面 → /crm/[id]	部門・年齢・EIGHT-ID・独自項目	詳細やBIには出ない。契約PDF差し込み／customer_custom に使える	現状どおりでOK	必須	仕様＋シート1 4,5		
51	営業の現場	営業	記入画面	リード › 顧客・商談管理 → 顧客を開く › 記入画面 → /crm/[id]	タグ・ステータス	一覧・詳細・ダッシュボード。タグで絞り込みやBI集計はしない	現状どおりでOK	必須	仕様		
52	営業の現場	営業	記入画面	リード › 顧客・商談管理 → 顧客を開く › 記入画面 → /crm/[id]	LINE／Slack ID	契約のやり取り管理で使える。顧客見出しには出ない	入力が渡る	推奨	仕様		
53	営業の現場	営業	記入画面	リード › 顧客・商談管理 → 顧客を開く › 記入画面 → /crm/[id]	備考	PDFと録音AI更新。CRM詳細には出ない	現状どおりでOK	必須	仕様		
54	営業の現場	営業	顧客 概要	リード › 顧客・商談管理 → 顧客を開く › 概要 → /crm/[id]	商談・見積・契約・工事が一覧で見える	概要から辿れる	入力が渡る	必須	仕様		
55	営業の現場	営業	商談	リード › 顧客・商談管理 のパイプライン切替 → /crm?view=pipeline。顧客詳細なら › 商談タブ	既存顧客に商談を追加（問い合わせなし。名前・金額・ステージ・担当）	カンバンに出る。金額は税抜。契約・工事・見積新規に渡る	一連の流れ	必須	仕様		
56	営業の現場	営業	商談	リード › 顧客・商談管理 のパイプライン切替 → /crm?view=pipeline。顧客詳細なら › 商談タブ	カードを別ステージへドラッグ	保存され列が変わる。BI見込も動く	入力が渡る	必須	仕様		
57	営業の現場	営業	商談編集	パイプラインのカード、または 顧客 › 商談タブ	クロージング予定日・部門	BIの計上日・部門別に使われる。追加ダイアログには部門が無い	入力が渡る	必須	仕様		
58	営業の現場	営業	商談	リード › 顧客・商談管理 のパイプライン切替 → /crm?view=pipeline。顧客詳細なら › 商談タブ	優先度・次アクション	カンバンと商談タブだけ。契約・BIには渡らない	現状どおりでOK	必須	仕様		
59	営業の現場	営業	商談タブ	リード › 顧客・商談管理 → 顧客を開く › 商談 → /crm/[id]	要約を保存し、テキストを選んでToDo追加	ToDoタブに出る。契約／PDFへは転記しない	一連の流れ	必須	仕様＋シート1 6,8,11		
60	営業の現場	営業	録音	リード › 顧客・商談管理 → 顧客を開く › 録音・要約 → /crm/[id]	録音開始→停止	文字起こし・要約。失敗時はリセットでやり直せる	一連の流れ	推奨	仕様＋シート1 7-9		
61	営業の現場	営業	録音	リード › 顧客・商談管理 → 顧客を開く › 録音・要約 → /crm/[id]	要約を保存し、顧客メールへ送信にチェック	要約メールが送れる（連携時）	一連の流れ	推奨	仕様		
62	営業の現場	営業	ToDo	リード › 顧客・商談管理 → 顧客を開く › ToDo → /crm/[id]	タイトル・期限で追加。Today/Upcoming/All。完了チェック	3カラム。期限切れはダッシュボード上部から辿れる	一連の流れ	必須	仕様＋シート1 10		
63	営業の現場	営業	日程	リード › 顧客・商談管理 → 顧客を開く › スケジューリング → /crm/[id]	区分・時間帯・所要→候補日提案→カレンダー登録。相手メンバーでカレンダーを見る	予定が本人と共有メンバーに出る	一連の流れ	必須	仕様＋シート1 12-14		
64	営業の現場	営業	顧客 文書	リード › 顧客・商談管理 → 顧客を開く › ドキュメント一覧 → /crm/[id]	図面・現地写真をアップロード	一覧／カードでDL。契約・工事の文書とは別に見える	入力が渡る	必須	仕様＋シート1 15,45		
65	営業の現場	営業	商談 AI	顧客詳細の商談タブ、または画面上のステージ／見込度の提案カード	ステージ／見込度の提案を適用	ステージまたは見込度が変わり、BI期待値に効く	入力が渡る	推奨	仕様		
66	営業の現場	営業	商談	リード › 顧客・商談管理 のパイプライン切替 → /crm?view=pipeline。顧客詳細なら › 商談タブ	失注ステージへ落とす	契約は作られない。BIの見込から外れる。失注理由マスタは選択肢に出ない	一連の流れ	必須	仕様		
67	見積の現場	営業	見積	左メニュー リード › 見積管理 → /quotes。新規は /quotes/new	顧客を選んで新規（件名・部門）。商談カードからも作る	一覧に出る。番号自動。顧客・金額が引き継がれる	一連の流れ	必須	仕様＋シート1 16,19		
68	見積の現場	営業	見積詳細	リード › 見積管理 → 見積を開く → /quotes/[id]	大項目→明細（品名・数量・単位・原単価・見積単価・業者）	小計・税・合計・粗利が自動。大項目と明細が競合したら明細優先（上書き表示あり）	画面	必須	仕様＋シート1 18,57,68		
69	見積の現場	営業	見積詳細	リード › 見積管理 → 見積を開く → /quotes/[id]	Enterで確定、D&Dで並べ替え、行を削除	順番が残る。削除できる	画面	必須	シート1 18,59		
