,,,,,,,,,
,No.,画面カテゴリ,セクション／タブ,ステータス,区分,タスク内容,該当箇所画像URL,詳細・補足,
,1,リード,パイプライン,未着手,削除,パイプラインの個別画面を削除,,独立した「パイプライン」画面を廃止し、顧客・商談管理画面のビュー切り替えに統合する,　
,2,リード,顧客・商談管理,未着手,修正,ビュー切り替えに「パイプライン」を追加,,既存の「カード」「一覧」ボタンの並びに「パイプライン」を追加する,　
,3,リード,顧客・商談管理,未着手,修正,デフォルトのビュー表示を「一覧」に指定,,「一覧」「カード」「パイプライン」が並ぶUI。初期表示は「一覧」,　
,4,リード,顧客・商談管理,未着手,検討,顧客に一意のID（EIGHT-ID）を付与,,ID作成は別途要検討（別会社の方が入る可能性があるため）,　
,5,リード,顧客・商談管理 - 詳細,未着手,追加,顧客詳細画面に記入項目タブを追加,,項目：電話番号（携帯）/メールアドレス/EIGHT-ID/契約者氏名/法人・個人/部門（新築・リノベ等）/年齢/住所/知ったきっかけ/問い合わせ分類/問い合わせ日/問い合わせ内容/担当者/予算感/その他自由追加+AI連携,　
,6,顧客詳細,商談タブ,未着手,追加,商談のタイムライン表示,,各商談をクリックすると、その商談の要約が表示される,　
,7,顧客詳細,録音・要約タブ,未着手,追加,録音開始・停止ボタンを配置,,リアルタイムで音声を文字に変換,　
,8,顧客詳細,録音・要約タブ,未着手,追加,メモ欄（営業が手入力）,,テキスト選択でフローティングツールバー表示：①ToDoに追加（別タブToDoに自動追加）②文章を改善（AIによる文章改善提案）③コピー,　
,9,顧客詳細,録音・要約タブ,未着手,追加,録音テキスト履歴セクション,,全商談の文字起こし+要約テキストを一覧化。クリックでタブ切り替え可能（Notionミーティングノートのようなイメージ）,　
,10,顧客詳細,ToDoタブ,未着手,追加,3カラム構成のToDo画面,,①期限カラム（Today/upcoming/All）②ToDo一覧カラム（選択期限のToDo表示）③ToDo詳細カラム,　
,11,顧客詳細,ToDoタブ,未着手,追加,録音・要約タブからのToDo自動追加,,「録音・要約」タブで追加したToDoがToDo一覧に自動追加される,　
,12,顧客詳細,スケジューリングタブ,未着手,追加,Googleカレンダー連携での候補日提案,,2カラム構成（スケジューリングカラム/スケジュールカラム）,　
,13,顧客詳細,スケジューリングタブ,未着手,追加,スケジューリングフロー実装,,①面談区分選択（対面/オンライン/電話 等）②希望時間帯選択（午前/午後/夜/いつでも、デフォルトは「いつでも」）③所要時間選択（15/30/60/90/120分）④候補日提案ボタン押下→候補日が一覧表示,　
,14,顧客詳細,スケジューリングタブ,未着手,追加,AIによる候補日最適化,,Googleカレンダーの予定と移動を伴うかをAIが判断し、最適な候補日を複数日提案。【優先度：候補日提案=高／AI判断=低】,　
,15,顧客詳細,ファイルアップロードタブ,未着手,追加,顧客に関わるデータの保存タブ,,ファイルアップロード・顧客情報はアプリ共通として保持する,　
,16,見積もり一覧画面,表示構造,未着手,修正,見積もり表示の階層構造を整理,,階層が深くなるにつれて画面遷移するイメージ：一覧{顧客名} → {顧客名}一覧{顧客に紐づく見積もり} → {見積もり詳細},　
,17,見積もり一覧画面,見積もり詳細,未着手,追加,詳細画面の機能：編集・PDFプレビュー・コピー,,見積書をコピー＝開いている見積もりをもとに新規見積もりを作成,　
,18,見積もり一覧画面,見積もり作成,未着手,修正,大項目／詳細項目の階層構造化,,見積もり作成画面の項目を大項目・詳細項目で階層化,　
,19,見積もり一覧画面,見積もり作成,未着手,修正,作成フロー：顧客選択→情報取得→作成画面,,「見積作成」クリック→顧客選択タブor検索を表示→顧客選択でその顧客情報を取得した作成画面を表示,　
,20,見積もり一覧画面,見積もり作成,未着手,追加,工事管理・契約管理の見積もりタブと連携,,工事管理で顧客ごとに作成した見積もりを、顧客縛りなく横断で閲覧可能に。【脱線】見積もり作成に工事管理での顧客登録が必須となるため、契約管理画面にも同様の見積もりタブが必要（営業が契約管理で工事前対応中も見積作成しうるため）,　
,21,職人管理画面,職人管理タブ,未着手,修正,デフォルト表示を一覧表示に変更,,カード表示ではなく一覧表示をデフォルトとする,　
,22,職人管理画面,職人管理タブ,未着手,修正,実績セクションを横幅いっぱい表示,,現在の備考セクションのように、横幅いっぱいで作業履歴を表示。作業に関わった案件が一覧表示される,　
,23,職人管理画面,職人管理タブ,未着手,追加,スキル／対応可能エリア／契約単価／支払いセクション追加,,スキル、対応可能エリア、契約単価、支払い予定・履歴一覧セクションを追加,　
,24,契約管理画面,顧客情報タブ,未着手,修正,顧客情報を横断共通化,,顧客・商談管理／契約管理／工事管理を横断して共通の情報を保持,　
,25,契約管理画面,やり取り管理タブ,未着手,修正,旧「合意形成サポート」タブの名称変更,,名称を「やり取り管理」に変更,　
,26,契約管理画面,やり取り管理タブ,未着手,追加,外部メッセージプラットフォーム連携,,LINE／Slack／メール連携。お客様と営業の「言った言わない」防止＋要望の取りこぼし防止。プラットフォーム選択→やりとり履歴取得→AIが重要と認識した合意事項を「重要な合意事項」セクションに表示（対応済／未対応のチェックorアイコン表示）,　
,27,契約管理画面,やり取り管理タブ,未着手,追加,クイック返信機能,,選択したプラットフォームに連絡を送信可能にする,　
