,108,発注書/請書,請書,SH完了,修正,受書の確認方法,,発注書と請書を確認できるようにする,こちらについて次回詳しく教えていただきたいです。,社内は請書を受領後のみ確認可。業者URLは受領前に発注書・受領後に請書。CloudSign署名完了で受領日を記録。紙は「請書を受領済みにする」。発注書PDFのCloudSign添付は未実装。2026-08-30。
,109,帳票データ作成,画面名称,SH完了,修正,「FBデータ作成」を「帳票データ作成」に名称変更,,メニュー・パンくず・タイトルを変更。経理軸（全銀データ）と営業事務軸（案件別一覧）のどちらからも分かる名前にするため,2026-08-19 社内会議で決定。Figma「BRIDGE Linq 画面改修」の 07_帳票データ作成 ページ参照,メニュー・パンくず・タイトルは「帳票データ作成」。コード内に「FBデータ」表記なし。2026-08-30 確認。
,110,帳票データ作成,出力形式,SH完了,修正,出力形式を「全銀フォーマット」「CSV」の2種類にし、タブで切り替える,,銀行別CSVは廃止。1画面に収め、タブで表の中身が切り替わる。全銀＝経理向け、CSV＝営業事務・ディレクター向けで欲しい情報が違うため,Figma 07 の画面A（全銀タブ）・画面B（CSVタブ）,全銀フォーマット／CSVの2形式切替。銀行別CSVはなし。2026-08-30 確認。
,111,帳票データ作成,全銀フォーマットタブ,SH完了,追加,全銀タブは 業者名・振込先口座・受取人名（カナ）・請求額・手数料・振込額 の表で表示する,,振込先口座（≒業者）をキーに、複数案件の請求を合算して1行にする。部門・勘定科目の列は全銀データに不要なので持たない,"例：田中建設は請求2件（2,200,000＋900,000）→1行 3,100,000",業者＋口座キーで合算。列は業者名・振込先口座・受取人名（カナ）・請求額・手数料・振込額。表本体に部門・勘定科目列なし。2026-08-30 確認。
,112,帳票データ作成,CSVタブ,SH完了,追加,CSVタブは請求ごとに1行の表で表示する（案件番号・案件名・業者名・部門・納品日・税抜金額・消費税・税込金額）,,プロジェクトごとというより請求ごとに知りたいため、同じ業者・同じ案件でも請求が分かれれば別行になる（業者が複数行になりうる）,,請求ごとに1行。案件番号・案件名・業者名・部門・納品日・税抜・消費税・税込を表示。2026-08-30 確認。
,113,帳票データ作成,CSVタブ,SH完了,追加,CSVの出力項目をチェックで選べるようにする,,チェックした列だけ書き出す。アンドパッドの請求エクスポート機能が参考。税率・監督名・単価は出さない,,チェックした列だけCSV書き出し。2026-08-30 確認。
,114,帳票データ作成,一覧,SH完了,追加,列見出しクリックでソートできるようにする（案件・業者・部門ほか）,,全銀タブ・CSVタブ共通,,CSVは案件番号・案件名・税抜・消費税・税込もソート。全銀は業者・口座・カナ・請求額・手数料・振込額もソート。2026-08-30 実装。
,115,帳票データ作成,承認連携,SH完了,追加,経理が承認した請求だけを帳票データの対象にする,,ディレクター確認→経理承認の順。未承認の請求は全銀・CSVとも含めない（金額誤り・翌月回しに対応）,No.121（請求書受領〜承認）と対になる,経理承認（payment_approved）のみ帳票対象。2026-08-30 確認。
,116,帳票データ作成,勘定科目,SH完了,検討,勘定科目をAIが推測して自動入力する,,帳票データ（全銀）には勘定科目は不要。実行予算画面でディレクター・施工管理が入力し、経理が修正した内容をAIが学習して次回以降は自動で推測する,2026-08-19 社内会議で検討事項として挙がった,実行予算に科目列。空行は未設定のまま。人の入力・経理確定だけ学習（経理は重み3）。全銀ファイル・全銀画面は科目不要（警告はCSVのみ）。一括・個別発注に転記。2026-08-30 徹底確認。
,117,納品・検収,発注済み一覧,SH完了,追加,納品・検収管理画面（発注済み一覧）を新設する,,発注済み→納品済み（検収待ち）→検収完了（請求待ち）→請求書受領→確認済み→承認済み のステータスで管理。ステータスごとに操作ボタン（納品を登録／検収完了／URLを再送／請求書を確認）が変わる。案件・業者・ステータスで絞り込み、列ソート,Figma「08_納品・検収・請求」ページ 画面1。発注書→受け書はクラウドサインAPI（No.108 関連）,/fulfillment に発注済み〜承認済みの一覧・絞込・ソート・操作ボタンあり。請書未受領では納品不可。2026-08-30。
,118,納品・検収,納品,SH完了,追加,「納品を登録」で 納品日・納品内容・添付（納品書・写真）を登録する,,納品日＝インボイスの取引日として、業者が送る請求書に自動で入る。分納の場合は納品ごとに行が増える,Figma 08 画面2（納品情報カード）,納品日・内容・添付を登録。分納は金額必須かつ発注額未満。差戻しで納品添付をクリア。2026-08-30。
