No,フロー名,Step,操作内容,確認ポイント,期待動作,優先度,確認結果,確認日,NG内容・備考
10,【1-2】問い合わせ受付〜商談化,1,問い合わせ（メール／Web／Instagram、または電話）を受け付ける,リード管理画面への自動取り込み・手動入力,リード管理画面にリードが登録される,高,未確認,2026/06/30,手動入力（電話問い合わせ想定）は「テスト太郎0630」の新規登録で正常動作を確認（OK）。一方、メール／Web／Instagram経由の自動取り込みは検証環境的にテスト送信ができず未検証。項目全体としては「未確認」とし、手動入力部分のみOKである旨を備考に記録。
11,【1-2】問い合わせ受付〜商談化,2,リード管理画面でAIアサイン候補を確認する,最適度スコア付き担当者候補の表示,候補がスコア付きで表示され、最適候補が自動アサインされる,高,NG,2026/07/13,AIクレジット追加後に再検証。「AI連携は準備中です」の表示は解消され、「田中 スタッフ（適合度100）」の提案と担当者欄への自動セットが動作することを確認。ただし仕様が定める「スコア付き複数担当者候補の表示」は未実装で、最終選定結果（1名）のみ表示される。6名中複数メンバーが存在するが1名のみの提案となっており、選定アルゴリズムも不明。テスト環境の実績データ不足による可能性がある。
12,【1-2】問い合わせ受付〜商談化,3,アサインされたリードを開き、顧客紐付け状況を確認する,既存顧客への紐付け、または新規顧客としての自動登録,既存顧客は紐付け、新規顧客は顧客管理に自動登録される,高,未確認,2026/06/30,新規顧客としての自動登録（テスト太郎0630）はOK確認済み。既存顧客への紐付け動作は、既存データを誤って書き換えるリスクがあるため未検証。
13,【1-2】問い合わせ受付〜商談化,4,アポ日時が単一で確定している問い合わせを確認する,カレンダーへの自動登録,Googleカレンダーに予定が自動登録される,中,NG,2026/06/30,候補日提案機能（「候補日を提案」「AIで最適化」）は正常動作し、5件の候補日が適合度100で生成された。しかし「この日時で確定→カレンダー登録」操作時に「カレンダー登録に失敗しました」というエラーが発生し、アポ日時を確定できない。Google OAuthがテストモードのため、カレンダー連携起因の可能性あり。
15,【1-2】問い合わせ受付〜商談化,6,商談終了時に「録音停止」ボタンを押す,録音内容の要約・商談登録,録音内容が要約され、商談として登録される,中,NG,2026/07/13,"AIクレジット追加後に再検証。No.14の文字起こし・要約生成（話者識別含む）は正常動作を確認。ただし仕様が定める「商談タブへの自動登録」は発生せず、既存商談（テスト商談0708）のみ表示のまま。録音データの保存・要約生成まではOKだが、商談への自動登録機能は未実装の可能性あり。
要約テキストには3つのアクションボタンあり（ToDoに追加・文章改善・コピー）。ToDoへの追加は正常動作を確認。ただし仕様が定める「商談タブへの自動登録」は引き続き未発生。"
19,【1-3】商談の進捗管理,3,商談メモを手入力で追加する,メモの保存,メモが正しく入力・保存できる,中,未確認,2026/07/01,「商談の要点・次のアクションなどを記録...」のテキストエリアと「要約を保存」ボタンのUIは確認済み。テスト用顧客（テスト太郎0630）に商談が紐付いていないため安全な検証環境が確保できず、クライアントデータへの書き込みリスクを考慮してスキップ
20,【1-3】商談の進捗管理,4,メモのテキストを選択し、ToDoに追加する,フローティングツールバー表示・ToDo化,テキスト選択時にツールバーが表示され、ToDoリストに追加される,中,検証不可,2026/07/01,前提となるNo.19（商談メモの入力・保存）が未確認のため検証不可。
22,【1-3】商談の進捗管理,6,「AI候補日自動提案」ボタンを押す,Googleカレンダー連携での候補日提案,候補日が提案される,中,NG,2026/07/08,再検証。「AIで最適化」ボタンで候補日5件に適合度スコア（95〜75）と選定理由が付与され、AI最適化機能自体は正常動作を確認。ただし「この日時で確定→カレンダー登録」押下時は引き続き「カレンダー登録に失敗しました」エラーが発生。GoogleOAuth環境起因の可能性あり。テストユーザー登録（test.verify.qa1111@gmail.com）完了後に再検証が必要。
24,【1-3】商談の進捗管理,8,メールを顧客に送信する,送信機能,メールが正しく送信される,低,検証不可,2026/07/01,No.24のメール文面生成が未確認のため検証不可
25,【1-3】商談の進捗管理,9,最終日程を確定し、次回商談をカレンダーに登録する,カレンダー自動登録,次回商談がカレンダーに自動登録される,高,NG,2026/07/01,No.23と同様、カレンダー登録に失敗。Google OAuth環境起因の可能性あり
