No,フロー名,Step,操作内容,確認ポイント,期待動作,優先度,確認結果,確認日,NG内容・備考,列 11
1,【2-1】工事案件の引き継ぎ〜工程表作成,1,工事一覧から対象の工事案件を開く,工事詳細画面の表示,工事詳細画面（7タブ）が表示される,高,OK,2026/07/10,,
2,【2-1】工事案件の引き継ぎ〜工程表作成,2,工事情報（顧客・契約・見積・商談ナレッジ）を確認する,引き継ぎ情報の表示,営業からの引き継ぎ情報が正しく表示される,高,OK,2026/07/10,,
3,【2-1】工事案件の引き継ぎ〜工程表作成,3,「工程表」タブを選択する,工程表タブの表示,ガントチャート（初回は空）が表示される,高,OK,2026/07/10,,
4,【2-1】工事案件の引き継ぎ〜工程表作成,4,「＋新規工程」ボタンで工程を手動追加する（工程名・期間・担当業者・依存関係）,工程の手動追加,ガントチャートに工程がリアルタイム表示される,高,OK,2026/07/10,「＋工程追加」ボタンからモーダルが表示され、工程名・開始日・終了日・メモを入力しガントチャートへのリアルタイム表示を確認。ただし仕様が定義する「担当業者」「依存関係」の入力欄はモーダルに存在しない。,
5,【2-1】工事案件の引き継ぎ〜工程表作成,5,ドラッグ＆ドロップで工程の期間・順序を調整する,D&Dによる工程調整,ガントチャート上で期間・順序が変更できる,中,NG,2026/07/10,工程2件（基礎工事・木工事）を追加しガントチャート表示を確認。ただしバーのドラッグ&ドロップによる期間変更・順序変更は操作できない。D&D機能は未実装。,
6,【2-1】工事案件の引き継ぎ〜工程表作成,6,Linqチャットパネルを開き「工程表を作って」と入力する,AI工程表生成,Linqが質問を経て最適な工程表を自動生成する,中,NG,2026/07/10,「工程表を作って」と入力後、Linqが箇条書きで必要情報を列挙するのみで、仕様通りの対話形式（順番に質問→回答→ナレッジ参照→工程表自動生成）は機能していない。工程表の自動生成も未発生。,
7,【2-1】工事案件の引き継ぎ〜工程表作成,7,入力内容がリアルタイム自動保存されることを確認する,自動保存,リロード後も工程表が保持される,高,OK,2026/07/10,,
8,【2-1】工事案件の引き継ぎ〜工程表作成,8,「契約書」タブを開き、契約書PDFの表示・アップロードを確認する,契約書タブの表示,契約書PDFがアップロード・管理できる,低,OK,2026/07/10,,
9,【2-1】工事案件の引き継ぎ〜工程表作成,9,「ドキュメント一覧」タブを開き、工事関連ファイルの一覧・ダウンロードを確認する,ドキュメントタブの表示,工事関連ファイルが一覧・カード表示され、ダウンロードできる,低,未確認,2026/07/10,"ドキュメントタブ・UI（一覧/カード切替・アップロードボタン・検索欄）は表示確認済み。
ただし「文書がありません」の状態のため、ファイルの一覧表示・ダウンロード動作は未確認。
テストファイルをアップロードして再検証が必要。",
10,【2-2】見積作成,1,工事詳細「見積もり」タブを開く,見積タブの表示,見積一覧・新規作成ボタンが表示される,高,OK,2026/07/10,,
11,【2-2】見積作成,2,新規見積を作成し、版管理・改訂が可能か確認する,版管理機能,複数版を保持でき、改訂元（parent_estimate_id）が設定される,中,OK,2026/07/10,,
12,【2-3】追加変更工事の対応,1,工事詳細「追加変更」タブを開く,追加変更タブの表示,追加変更工事の作成・一覧が表示される,高,OK,2026/07/10,,
13,【2-3】追加変更工事の対応,2,追加変更工事を作成し、変更前後の差額・明細を記録する,差額・明細の記録,変更前後の明細・差額が正しく記録される,高,OK,2026/07/10,,
14,【2-3】追加変更工事の対応,3,追加変更の承認フローを起票・承認する,承認フロー,承認依頼が送られ、承認後ステータスが更新される,高,NG,2026/07/10,"「承認」ボタンを押すと承認者選択・申請コメント等のモーダルなしで即時「承認済」に
ステータス更新され、トースト通知「承認しました。契約金額を更新しました」が表示された。
仕様の承認フロー（申請→通知→承認者確認→承認）は未実装と思われる。",
15,【2-3】追加変更工事の対応,4,CloudSign連携で電子署名を送信する,CloudSign連携,業者にCloudSignメールが送信され署名完了が反映される,中,検証不可,2026/07/10,"CloudSign APIキー未設定のため、クラウドサイン送信ボタンは表示されているが
実際の送信・署名完了反映は確認不可。APIキー設定後に再検証が必要。",
