No,フロー名,Step,操作内容,確認ポイント,期待動作,優先度,確認結果,確認日,NG内容・備考,列 11
1,【3-1】請求書の発行〜入金管理,1,請求管理（/invoices）画面を開く,請求管理画面の表示,請求書一覧が表示される,高,OK,2026/07/10,,
2,【3-1】請求書の発行〜入金管理,2,月次一括生成ボタンを押し、締日ベースで請求書が自動生成されることを確認する,月次一括生成,invoice_closing_dayに基づき未生成の月次請求書が自動作成される,高,未実装,2026/07/10,請求管理（/invoices）画面に「月次一括生成」ボタンが存在しない。確認できるUIは「＋新規作成」ボタンのみ。invoice_closing_dayに基づく月次請求書の自動一括生成機能は未実装と思われる。,
3,【3-1】請求書の発行〜入金管理,3,個別に請求書を新規作成する,個別請求書作成,顧客・工事・金額を指定して請求書が作成できる,高,OK,2026/07/14,請求書作成画面に顧客・工事の選択セレクトボックスが実装済み。宛名・請求日・支払期限・明細（内容・数量・単価・金額・行追加）・保存ボタンが存在することを確認。※再検証により修正。,
4,【3-1】請求書の発行〜入金管理,4,請求書をPDFでダウンロードまたは送付する,PDF出力・送付,請求書PDFが生成・ダウンロードできる,高,OK,2026/07/10,,
5,【3-1】請求書の発行〜入金管理,5,入金消込操作を行い、ステータスが更新されることを確認する,入金消込,入金済みに更新され請求残が解消される,中,OK,2026/07/10,ステータスドロップダウン（下書き／送付済み／入金済み／キャンセル）が実装されており、入金消込操作のUIは正常に存在することを確認。クライアントのテストデータへの影響リスクがあるため実際の変更操作は未実施だが、UIとして入金済みへの変更が可能な状態を確認済み。,
6,【3-1】請求書の発行〜入金管理,6,作成した請求書を顧客へ送付する（メール送信またはPDF共有）,請求書の送付機能,顧客への送付操作が完了し、送付済みステータスに更新される,中,未実装,2026/07/10,請求書詳細画面にメール送信・送付専用ボタンが存在しない。ステータスドロップダウン（下書き／送付済み／入金済み）での手動変更のみ可能。仕様書が求める「顧客へのメール送信またはPDF共有による送付操作」は未実装。なお顧客・工事の紐付け（田中 健太郎 / 田中様邸 注文住宅新築工事）・明細・金額表示は正常。,
7,【3-2】年度予算の策定〜承認,1,予算管理画面を開く,予算管理画面の表示,年度予算の入力・一覧画面が表示される,中,対象外,2026/07/10,仕様書に「メニュー削除予定」と明記。意図的に除外された機能。,
8,【3-2】年度予算の策定〜承認,2,年度予算を入力し承認フローを起票する,予算策定・承認フロー,予算データが保存され、承認者に通知される,中,対象外,2026/07/10,同上,
9,【3-2】年度予算の策定〜承認,3,承認後、予算が確定状態になることを確認する,予算確定,ステータスが確定に更新される,中,対象外,2026/07/10,同上,
10,【3-3】予実管理,1,予実管理画面を開き、計画vs実績を確認する,予実データの表示,完了工事から実績が集計され達成率が表示される,中,未実装,2026/07/10,サイドバー・管理者メニューいずれにも予実管理画面なし。URLも404。仕様書D-5「予算管理」はメニュー削除予定と明記されており、予実管理も同様に未実装と判断。,
11,【3-3】予実管理,2,部門別・期間別のフィルタを使って予実を絞り込む,フィルタ機能,条件に応じて予実データが絞り込まれる,低,検証不可,2026/07/10,No.10で予実管理画面が未実装のため到達不可。,
12,【3-4】経営状況のモニタリング,1,BIダッシュボードを開く,BIダッシュボードの表示,売上・粗利・営業利益のKPIが表示される,中,OK,2026/07/28,"粗利KPIを「粗利（実績/目標）」形式に改修し、売上と同様に期首設定の粗利目標を表示（2026/07/28対応）。経営確認FAQ（粗利目標・月別984万/2784万の計算・着地「契約済」の集計定義）は docs/bi-dashboard-faq.md に回答記載。"
13,【3-4】経営状況のモニタリング,2,目標vs実績を円グラフ・P&Lウォーターフォール・部門別チャートで確認する,グラフ表示,各チャートが正しくレンダリングされる,中,NG,2026/07/10,月別推移グラフ（折れ線・棒グラフ）・昨対比較グラフ（棒グラフ）・部門別表・着地予測・見込み売上は実装済みで正常表示。ただし仕様書が定義する「円グラフ」「P&Lウォーターフォールチャート」の2種が未実装。部門別は表形式のみで部門別チャートも未表示。,
